Title,Year,Rating,Genre,Duration
The Shawshank Redemption,1994,9.3,Drama,142
The Godfather,1972,9.2,Crime,175
The Dark Knight,2008,9.1,Action,152
12 Angry Men,1957,9.0,Crime,96
Schindler's List,1993,9.0,Biography,195
The Lord of the Rings: The Return of the King,2003,9.0,Adventure,201
Pulp Fiction,1994,8.8,Crime,154
"The Good, the Bad and the Ugly",1966,8.8,Adventure,178
Forrest Gump,1994,8.8,Drama,142
Inception,2010,8.8,Action,148
The Matrix,1999,8.7,Action,136
Fight Club,1999,8.8,Crime,139
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,Action,124
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,Adventure,178
One Flew Over the Cuckoo's Nest,1975,8.7,Drama,133
Star Wars: Episode IV - A New Hope,1977,8.6,Action,121
The Silence of the Lambs,1991,8.6,Crime,118
Casablanca,1942,8.5,Drama,102
Citizen Kane,1941,8.2,Drama,119
It's a Wonderful Life,1946,8.6,Drama,130
The Usual Suspects,1995,8.5,Crime,106
Se7en,1995,8.6,Crime,127
The Lion King,1994,8.5,Animation,88
The Terminator,1984,8.1,Action,107
Back to the Future,1985,8.5,Adventure,116
Pulp Fiction,1994,8.8,Crime,154
The Godfather Part II,1974,9.0,Crime,202
The Dark Knight Rises,2012,8.4,Action,164
Gladiator,2000,8.5,Action,155
The Prestige,2006,8.5,Drama,130
The Departed,2006,8.5,Crime,151
The Green Mile,1999,8.6,Crime,189
Whiplash,2014,8.5,Drama,106
The Intouchables,2011,8.5,Comedy,112
The Pianist,2002,8.5,Biography,150
The Revenant,2015,8.0,Adventure,156
The Social Network,2010,7.8,Biography,120
The Grand Budapest Hotel,2014,8.1,Comedy,99
Mad Max: Fury Road,2015,8.1,Action,120
The Wolf of Wall Street,2013,8.2,Biography,180
The Big Lebowski,1998,8.1,Comedy,117
The Shining,1980,8.4,Drama,146
The Sixth Sense,1999,8.2,Drama,107
The Incredibles,2004,8.0,Animation,115
The Princess Bride,1987,8.0,Adventure,98
The Truman Show,1998,8.2,Comedy,103
The Breakfast Club,1985,7.8,Comedy,97
The Big Short,2015,7.8,Biography,130
The Hunt for Red October,1990,7.5,Action,135
The Bourne Identity,2002,7.8,Action,119
